barcode,itemcallnumber,isbn,title,subtitle,author,pages,publishercode,copyrightdate,price
20957,"531.32 T20 CAM",9780367137212,"Simultaneous systems of differential equations and multi-dimensional vibrations",,"Campos, L.M.B.C",,"CRC Press",2020,11112.15
20958,"510 T20 PUN",9789389396324,"Linear programming",,"Pundir, Sudhir K.",,"CBS Pub.",2020,525.00
20959,"519.3 T19 GIL H",9781482248098,"Game theory: a modeling approach",,"Gillman, Richard A and Housman, David.",,"CRC Press",2019,6031.25
20960,"519.3 T21 TAY",9780367820435,"Games, gambling, and probability",,"Taylor, David G.",,"CRC Press",2021,8782.83
20961,"530.145 T20 FAI",9780367779597,"Quantum field theory: feynman path integrals and diagrammatic techniques in condensed matter",,"Fai, Lukong C",,"CRC Press",2020,4761.29
20962,"530.14 T23 ZET",9789354640773,"Quantum mechanics: concepts and applications",,"Zettili, Nouredine",,Wiley,2023,1395.00
20963,"539 T18 LVO",9783662565827,"Quantum physics: an introduction based on photons",,"Lrorsky, A.I.",,Springer,2018,5435.09
20964,"621.365 T20 PEA",9783030473273,"Quantum photonics",,"Pearsall, Thomas P.",,Springer,2020,5888.09
20965,"530.12 T20 DIC",9783030578725,"Advanced quantum mechanics: materials and photons",,"Dick, Rainer",,Springer,2020,8153.09
20966,"530.143 T16 MAI B",9781498722308,"Relativistic quantum mechanics: an introduction to relativistic quantum fields",,"Maiani, Luciano and Renhar, Omar",,"CRC Press",2016,7936.19
